date,hour,day_of_week,day_name,month,hospital,county,department,wait_time_mins,satisfaction_score,is_weekend
2024-11-14,15,3,Thursday,11,Mama Lucy Kibaki Hospital,Nairobi,Outpatient,93,2,0
2023-09-28,8,3,Thursday,9,Kenyatta National Hospital,Nairobi,General Surgery,139,1,0
2023-10-06,9,4,Friday,10,Pumwani Maternity Hospital,Nairobi,Casualty/Emergency,93,2,0
2024-12-04,13,2,Wednesday,12,Mama Lucy Kibaki Hospital,Nairobi,General Surgery,189,2,0
2023-09-15,16,4,Friday,9,Kenyatta National Hospital,Nairobi,Outpatient,85,4,0
2024-03-09,15,5,Saturday,3,Kenyatta National Hospital,Nairobi,Outpatient,61,3,1
2023-05-14,13,6,Sunday,5,Mama Lucy Kibaki Hospital,Nairobi,Maternity,10,5,1
2024-07-18,13,3,Thursday,7,Coast General Hospital,Mombasa,Outpatient,145,1,0
2023-03-19,17,6,Sunday,3,Pumwani Maternity Hospital,Nairobi,General Surgery,30,3,1
2024-01-14,12,6,Sunday,1,Pumwani Maternity Hospital,Nairobi,Pediatrics,18,4,1
2023-02-12,10,6,Sunday,2,Kenyatta National Hospital,Nairobi,Casualty/Emergency,14,4,1
2024-11-29,9,4,Friday,11,Kenyatta National Hospital,Nairobi,Casualty/Emergency,33,5,0
2024-02-21,18,2,Wednesday,2,Pumwani Maternity Hospital,Nairobi,Maternity,13,4,0
2023-07-01,16,5,Saturday,7,Kenyatta National Hospital,Nairobi,Maternity,23,5,1
2024-02-26,15,0,Monday,2,Pumwani Maternity Hospital,Nairobi,Casualty/Emergency,78,2,0
2024-12-19,8,3,Thursday,12,Kenyatta National Hospital,Nairobi,Pediatrics,91,2,0
2023-07-24,15,0,Monday,7,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,41,4,0
2023-08-22,9,1,Tuesday,8,Pumwani Maternity Hospital,Nairobi,Pediatrics,133,2,0
2023-10-13,15,4,Friday,10,Mama Lucy Kibaki Hospital,Nairobi,Casualty/Emergency,55,5,0
2024-06-05,10,2,Wednesday,6,Coast General Hospital,Mombasa,Casualty/Emergency,50,3,0
2023-04-29,16,5,Saturday,4,Mama Lucy Kibaki Hospital,Nairobi,Maternity,18,5,1
2023-02-09,8,3,Thursday,2,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,58,5,0
2023-11-18,11,5,Saturday,11,Coast General Hospital,Mombasa,Outpatient,60,3,1
2024-08-13,9,1,Tuesday,8,Kenyatta National Hospital,Nairobi,Pediatrics,200,1,0
2024-06-16,17,6,Sunday,6,Coast General Hospital,Mombasa,Maternity,10,5,1
2024-03-17,8,6,Sunday,3,Mama Lucy Kibaki Hospital,Nairobi,General Surgery,38,4,1
2024-11-10,15,6,Sunday,11,Mama Lucy Kibaki Hospital,Nairobi,General Surgery,30,4,1
2024-11-13,10,2,Wednesday,11,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,25,4,0
2023-07-16,10,6,Sunday,7,Moi Teaching & Referral Hospital,Eldoret,Maternity,25,5,1
2024-02-20,12,1,Tuesday,2,Kenyatta National Hospital,Nairobi,Casualty/Emergency,47,4,0
2023-08-04,11,4,Friday,8,Coast General Hospital,Mombasa,General Surgery,207,3,0
2023-11-26,11,6,Sunday,11,Moi Teaching & Referral Hospital,Eldoret,Maternity,18,5,1
2023-06-23,13,4,Friday,6,Mama Lucy Kibaki Hospital,Nairobi,General Surgery,119,4,0
2024-10-10,13,3,Thursday,10,Kenyatta National Hospital,Nairobi,Maternity,67,4,0
2023-11-14,9,1,Tuesday,11,Pumwani Maternity Hospital,Nairobi,Maternity,113,2,0
2023-02-17,9,4,Friday,2,Moi Teaching & Referral Hospital,Eldoret,General Surgery,218,1,0
2024-04-11,10,3,Thursday,4,Coast General Hospital,Mombasa,Maternity,90,4,0
2024-12-14,10,5,Saturday,12,Moi Teaching & Referral Hospital,Eldoret,Maternity,53,3,1
2024-11-02,13,5,Saturday,11,Kenyatta National Hospital,Nairobi,Pediatrics,76,2,1
2023-06-30,15,4,Friday,6,Coast General Hospital,Mombasa,Pediatrics,98,2,0
2024-07-24,9,2,Wednesday,7,Kenyatta National Hospital,Nairobi,Pediatrics,121,1,0
2024-04-20,13,5,Saturday,4,Coast General Hospital,Mombasa,General Surgery,76,3,1
2024-03-29,13,4,Friday,3,Coast General Hospital,Mombasa,Pediatrics,54,5,0
2024-04-01,16,0,Monday,4,Moi Teaching & Referral Hospital,Eldoret,Pediatrics,89,3,0
2023-09-11,15,0,Monday,9,Mama Lucy Kibaki Hospital,Nairobi,General Surgery,190,2,0
2024-10-03,9,3,Thursday,10,Moi Teaching & Referral Hospital,Eldoret,Outpatient,240,3,0
2023-10-20,9,4,Friday,10,Mama Lucy Kibaki Hospital,Nairobi,Casualty/Emergency,79,4,0
2023-03-24,8,4,Friday,3,Pumwani Maternity Hospital,Nairobi,Pediatrics,157,3,0
2023-06-06,13,1,Tuesday,6,Kenyatta National Hospital,Nairobi,Pediatrics,112,3,0
2023-12-05,12,1,Tuesday,12,Moi Teaching & Referral Hospital,Eldoret,Outpatient,73,2,0
2024-03-06,10,2,Wednesday,3,Coast General Hospital,Mombasa,Outpatient,159,3,0
2024-01-25,11,3,Thursday,1,Mama Lucy Kibaki Hospital,Nairobi,Casualty/Emergency,55,4,0
2024-03-05,12,1,Tuesday,3,Coast General Hospital,Mombasa,General Surgery,187,1,0
2024-05-14,9,1,Tuesday,5,Moi Teaching & Referral Hospital,Eldoret,Pediatrics,114,2,0
2024-02-03,10,5,Saturday,2,Moi Teaching & Referral Hospital,Eldoret,Maternity,67,3,1
2023-05-11,18,3,Thursday,5,Coast General Hospital,Mombasa,Outpatient,20,5,0
2024-08-29,12,3,Thursday,8,Kenyatta National Hospital,Nairobi,Outpatient,114,4,0
2024-03-14,8,3,Thursday,3,Moi Teaching & Referral Hospital,Eldoret,Maternity,143,1,0
2023-09-24,10,6,Sunday,9,Pumwani Maternity Hospital,Nairobi,Pediatrics,20,5,1
2023-12-12,14,1,Tuesday,12,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,39,4,0
2023-09-16,15,5,Saturday,9,Moi Teaching & Referral Hospital,Eldoret,Outpatient,43,5,1
2024-07-06,7,5,Saturday,7,Mama Lucy Kibaki Hospital,Nairobi,Maternity,14,4,1
2024-10-29,7,1,Tuesday,10,Kenyatta National Hospital,Nairobi,Maternity,21,4,0
2023-01-21,13,5,Saturday,1,Pumwani Maternity Hospital,Nairobi,Maternity,39,4,1
2024-11-16,8,5,Saturday,11,Pumwani Maternity Hospital,Nairobi,Pediatrics,36,5,1
2023-09-20,14,2,Wednesday,9,Pumwani Maternity Hospital,Nairobi,General Surgery,131,3,0
2023-04-28,14,4,Friday,4,Pumwani Maternity Hospital,Nairobi,Casualty/Emergency,38,3,0
2024-08-15,7,3,Thursday,8,Mama Lucy Kibaki Hospital,Nairobi,General Surgery,101,4,0
2024-01-20,10,5,Saturday,1,Pumwani Maternity Hospital,Nairobi,Outpatient,54,5,1
2024-12-08,15,6,Sunday,12,Pumwani Maternity Hospital,Nairobi,Outpatient,20,5,1
2024-12-01,12,6,Sunday,12,Kenyatta National Hospital,Nairobi,General Surgery,40,3,1
2023-12-22,12,4,Friday,12,Mama Lucy Kibaki Hospital,Nairobi,Outpatient,81,4,0
2024-10-25,10,4,Friday,10,Moi Teaching & Referral Hospital,Eldoret,Pediatrics,169,1,0
2024-03-19,17,1,Tuesday,3,Moi Teaching & Referral Hospital,Eldoret,Maternity,49,4,0
2023-06-30,14,4,Friday,6,Mama Lucy Kibaki Hospital,Nairobi,General Surgery,95,4,0
2024-05-10,11,4,Friday,5,Coast General Hospital,Mombasa,Casualty/Emergency,63,3,0
2023-09-09,15,5,Saturday,9,Kenyatta National Hospital,Nairobi,Casualty/Emergency,17,5,1
2023-09-07,14,3,Thursday,9,Coast General Hospital,Mombasa,General Surgery,170,3,0
2024-01-24,10,2,Wednesday,1,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,29,4,0
2024-05-14,9,1,Tuesday,5,Mama Lucy Kibaki Hospital,Nairobi,Casualty/Emergency,44,4,0
2024-09-02,13,0,Monday,9,Mama Lucy Kibaki Hospital,Nairobi,General Surgery,299,1,0
2024-06-13,17,3,Thursday,6,Kenyatta National Hospital,Nairobi,Maternity,32,5,0
2024-02-21,11,2,Wednesday,2,Pumwani Maternity Hospital,Nairobi,Pediatrics,87,4,0
2024-12-29,11,6,Sunday,12,Kenyatta National Hospital,Nairobi,Outpatient,32,4,1
2023-08-15,10,1,Tuesday,8,Pumwani Maternity Hospital,Nairobi,Casualty/Emergency,51,5,0
2024-08-18,10,6,Sunday,8,Coast General Hospital,Mombasa,General Surgery,50,4,1
2024-03-11,19,0,Monday,3,Coast General Hospital,Mombasa,Casualty/Emergency,13,5,0
2024-12-20,11,4,Friday,12,Mama Lucy Kibaki Hospital,Nairobi,Casualty/Emergency,47,3,0
2023-05-04,14,3,Thursday,5,Mama Lucy Kibaki Hospital,Nairobi,Outpatient,161,3,0
2024-07-02,17,1,Tuesday,7,Pumwani Maternity Hospital,Nairobi,Maternity,40,3,0
2024-05-10,9,4,Friday,5,Coast General Hospital,Mombasa,General Surgery,185,3,0
2023-10-17,18,1,Tuesday,10,Pumwani Maternity Hospital,Nairobi,Casualty/Emergency,14,4,0
2024-01-05,9,4,Friday,1,Kenyatta National Hospital,Nairobi,General Surgery,203,1,0
2023-10-08,7,6,Sunday,10,Kenyatta National Hospital,Nairobi,General Surgery,30,4,1
2024-12-15,17,6,Sunday,12,Moi Teaching & Referral Hospital,Eldoret,Outpatient,20,4,1
2024-08-10,9,5,Saturday,8,Moi Teaching & Referral Hospital,Eldoret,Pediatrics,50,4,1
2023-07-08,18,5,Saturday,7,Mama Lucy Kibaki Hospital,Nairobi,Pediatrics,15,4,1
2023-03-08,10,2,Wednesday,3,Kenyatta National Hospital,Nairobi,General Surgery,178,3,0
2024-12-03,7,1,Tuesday,12,Pumwani Maternity Hospital,Nairobi,General Surgery,100,3,0
2023-03-29,19,2,Wednesday,3,Kenyatta National Hospital,Nairobi,General Surgery,33,4,0
2024-09-12,12,3,Thursday,9,Coast General Hospital,Mombasa,Maternity,60,4,0
2024-01-25,11,3,Thursday,1,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,35,5,0
2024-03-15,9,4,Friday,3,Coast General Hospital,Mombasa,Outpatient,158,3,0
2023-04-12,17,2,Wednesday,4,Pumwani Maternity Hospital,Nairobi,Maternity,19,5,0
2024-11-07,8,3,Thursday,11,Pumwani Maternity Hospital,Nairobi,Maternity,84,4,0
2023-03-18,8,5,Saturday,3,Moi Teaching & Referral Hospital,Eldoret,Pediatrics,59,5,1
2024-08-31,11,5,Saturday,8,Kenyatta National Hospital,Nairobi,Maternity,42,4,1
2024-12-24,9,1,Tuesday,12,Moi Teaching & Referral Hospital,Eldoret,Outpatient,235,3,0
2023-08-28,17,0,Monday,8,Coast General Hospital,Mombasa,Maternity,50,4,0
2023-04-28,12,4,Friday,4,Pumwani Maternity Hospital,Nairobi,Casualty/Emergency,72,2,0
2023-03-15,7,2,Wednesday,3,Mama Lucy Kibaki Hospital,Nairobi,General Surgery,53,5,0
2024-08-05,16,0,Monday,8,Moi Teaching & Referral Hospital,Eldoret,Outpatient,196,2,0
2024-12-06,9,4,Friday,12,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,99,4,0
2024-07-06,11,5,Saturday,7,Kenyatta National Hospital,Nairobi,General Surgery,57,3,1
2024-03-18,14,0,Monday,3,Coast General Hospital,Mombasa,Casualty/Emergency,45,3,0
2023-04-04,9,1,Tuesday,4,Coast General Hospital,Mombasa,General Surgery,288,1,0
2024-11-19,15,1,Tuesday,11,Coast General Hospital,Mombasa,Outpatient,91,2,0
2024-04-26,11,4,Friday,4,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,73,2,0
2024-08-22,11,3,Thursday,8,Moi Teaching & Referral Hospital,Eldoret,Outpatient,133,2,0
2023-12-23,10,5,Saturday,12,Mama Lucy Kibaki Hospital,Nairobi,Outpatient,69,2,1
2023-12-04,10,0,Monday,12,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,68,4,0
2024-02-15,15,3,Thursday,2,Coast General Hospital,Mombasa,Outpatient,45,4,0
2023-04-01,10,5,Saturday,4,Mama Lucy Kibaki Hospital,Nairobi,Outpatient,61,3,1
2024-06-10,15,0,Monday,6,Kenyatta National Hospital,Nairobi,General Surgery,235,2,0
2024-02-28,7,2,Wednesday,2,Coast General Hospital,Mombasa,Casualty/Emergency,17,5,0
2024-10-02,11,2,Wednesday,10,Kenyatta National Hospital,Nairobi,Maternity,40,4,0
2024-07-16,8,1,Tuesday,7,Mama Lucy Kibaki Hospital,Nairobi,Pediatrics,132,3,0
2024-05-11,8,5,Saturday,5,Coast General Hospital,Mombasa,Maternity,48,5,1
2023-06-12,10,0,Monday,6,Kenyatta National Hospital,Nairobi,General Surgery,232,2,0
2023-04-06,9,3,Thursday,4,Kenyatta National Hospital,Nairobi,Pediatrics,141,1,0
2024-10-25,15,4,Friday,10,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,44,5,0
2024-12-23,9,0,Monday,12,Moi Teaching & Referral Hospital,Eldoret,Pediatrics,147,1,0
2024-04-12,12,4,Friday,4,Moi Teaching & Referral Hospital,Eldoret,Maternity,95,4,0
2024-06-04,14,1,Tuesday,6,Pumwani Maternity Hospital,Nairobi,Outpatient,141,2,0
2024-02-29,10,3,Thursday,2,Coast General Hospital,Mombasa,Casualty/Emergency,73,2,0
2023-10-17,14,1,Tuesday,10,Coast General Hospital,Mombasa,General Surgery,212,3,0
2024-05-16,15,3,Thursday,5,Moi Teaching & Referral Hospital,Eldoret,General Surgery,65,3,0
2023-12-20,10,2,Wednesday,12,Coast General Hospital,Mombasa,Pediatrics,71,3,0
2023-11-26,16,6,Sunday,11,Pumwani Maternity Hospital,Nairobi,General Surgery,30,4,1
2023-08-28,15,0,Monday,8,Moi Teaching & Referral Hospital,Eldoret,Outpatient,162,2,0
2024-04-29,13,0,Monday,4,Moi Teaching & Referral Hospital,Eldoret,Pediatrics,187,3,0
2024-10-29,18,1,Tuesday,10,Moi Teaching & Referral Hospital,Eldoret,Outpatient,65,2,0
2024-05-29,18,2,Wednesday,5,Mama Lucy Kibaki Hospital,Nairobi,Outpatient,25,5,0
2023-04-13,11,3,Thursday,4,Moi Teaching & Referral Hospital,Eldoret,Outpatient,156,3,0
2023-05-28,10,6,Sunday,5,Pumwani Maternity Hospital,Nairobi,Outpatient,45,4,1
2023-09-29,10,4,Friday,9,Moi Teaching & Referral Hospital,Eldoret,Outpatient,227,2,0
2024-11-21,15,3,Thursday,11,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,29,5,0
2024-07-08,7,0,Monday,7,Kenyatta National Hospital,Nairobi,Maternity,70,4,0
2024-12-01,16,6,Sunday,12,Pumwani Maternity Hospital,Nairobi,Outpatient,20,5,1
2023-04-11,14,1,Tuesday,4,Kenyatta National Hospital,Nairobi,Pediatrics,93,2,0
2024-12-11,9,2,Wednesday,12,Kenyatta National Hospital,Nairobi,Outpatient,115,3,0
2023-02-27,9,0,Monday,2,Mama Lucy Kibaki Hospital,Nairobi,Pediatrics,200,1,0
2023-09-08,12,4,Friday,9,Coast General Hospital,Mombasa,Maternity,146,1,0
2023-06-29,8,3,Thursday,6,Moi Teaching & Referral Hospital,Eldoret,General Surgery,76,4,0
2023-09-04,11,0,Monday,9,Coast General Hospital,Mombasa,Maternity,156,1,0
2024-04-17,13,2,Wednesday,4,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,19,4,0
2024-04-21,16,6,Sunday,4,Coast General Hospital,Mombasa,Maternity,10,4,1
2024-03-28,17,3,Thursday,3,Coast General Hospital,Mombasa,Casualty/Emergency,23,5,0
2024-12-07,9,5,Saturday,12,Mama Lucy Kibaki Hospital,Nairobi,Maternity,55,4,1
2024-05-09,8,3,Thursday,5,Moi Teaching & Referral Hospital,Eldoret,General Surgery,116,3,0
2024-08-11,9,6,Sunday,8,Mama Lucy Kibaki Hospital,Nairobi,Outpatient,31,5,1
2024-02-10,9,5,Saturday,2,Coast General Hospital,Mombasa,Outpatient,97,4,1
2024-05-23,15,3,Thursday,5,Mama Lucy Kibaki Hospital,Nairobi,Maternity,43,5,0
2023-12-27,9,2,Wednesday,12,Pumwani Maternity Hospital,Nairobi,General Surgery,191,2,0
2024-11-25,14,0,Monday,11,Pumwani Maternity Hospital,Nairobi,Outpatient,175,3,0
2024-10-23,7,2,Wednesday,10,Moi Teaching & Referral Hospital,Eldoret,Outpatient,34,5,0
2024-01-09,14,1,Tuesday,1,Kenyatta National Hospital,Nairobi,Casualty/Emergency,77,3,0
2024-03-01,9,4,Friday,3,Pumwani Maternity Hospital,Nairobi,General Surgery,300,2,0
2024-06-27,11,3,Thursday,6,Mama Lucy Kibaki Hospital,Nairobi,Maternity,30,4,0
2024-05-08,18,2,Wednesday,5,Mama Lucy Kibaki Hospital,Nairobi,Casualty/Emergency,8,4,0
2024-04-24,18,2,Wednesday,4,Pumwani Maternity Hospital,Nairobi,Maternity,11,5,0
2024-07-24,10,2,Wednesday,7,Moi Teaching & Referral Hospital,Eldoret,Outpatient,149,2,0
2024-07-03,8,2,Wednesday,7,Mama Lucy Kibaki Hospital,Nairobi,Casualty/Emergency,32,5,0
2024-01-26,15,4,Friday,1,Mama Lucy Kibaki Hospital,Nairobi,Outpatient,108,4,0
2023-08-28,11,0,Monday,8,Coast General Hospital,Mombasa,General Surgery,298,2,0
2024-09-16,9,0,Monday,9,Kenyatta National Hospital,Nairobi,Pediatrics,200,3,0
2023-11-06,13,0,Monday,11,Kenyatta National Hospital,Nairobi,Maternity,82,2,0
2023-02-08,9,2,Wednesday,2,Moi Teaching & Referral Hospital,Eldoret,Outpatient,121,1,0
2023-08-29,16,1,Tuesday,8,Pumwani Maternity Hospital,Nairobi,Pediatrics,54,4,0
2024-01-15,13,0,Monday,1,Coast General Hospital,Mombasa,Pediatrics,130,3,0
2023-06-08,16,3,Thursday,6,Kenyatta National Hospital,Nairobi,Pediatrics,82,4,0
2024-02-22,17,3,Thursday,2,Mama Lucy Kibaki Hospital,Nairobi,Outpatient,50,5,0
2024-01-15,9,0,Monday,1,Moi Teaching & Referral Hospital,Eldoret,Maternity,111,3,0
2023-04-12,18,2,Wednesday,4,Mama Lucy Kibaki Hospital,Nairobi,General Surgery,36,5,0
2024-01-03,8,2,Wednesday,1,Mama Lucy Kibaki Hospital,Nairobi,Maternity,117,2,0
2024-04-10,8,2,Wednesday,4,Pumwani Maternity Hospital,Nairobi,General Surgery,188,1,0
2023-02-21,14,1,Tuesday,2,Pumwani Maternity Hospital,Nairobi,Maternity,43,5,0
2023-07-30,8,6,Sunday,7,Coast General Hospital,Mombasa,Maternity,18,4,1
2023-08-27,10,6,Sunday,8,Pumwani Maternity Hospital,Nairobi,General Surgery,65,2,1
2023-10-11,15,2,Wednesday,10,Pumwani Maternity Hospital,Nairobi,Maternity,36,5,0
2023-09-14,15,3,Thursday,9,Kenyatta National Hospital,Nairobi,Outpatient,95,2,0
2023-01-16,10,0,Monday,1,Pumwani Maternity Hospital,Nairobi,General Surgery,300,2,0
2023-01-17,9,1,Tuesday,1,Kenyatta National Hospital,Nairobi,Maternity,90,4,0
2024-03-07,11,3,Thursday,3,Kenyatta National Hospital,Nairobi,Pediatrics,95,3,0
2024-01-06,11,5,Saturday,1,Kenyatta National Hospital,Nairobi,Pediatrics,15,4,1
2024-09-21,7,5,Saturday,9,Coast General Hospital,Mombasa,Casualty/Emergency,6,5,1
2024-10-20,18,6,Sunday,10,Kenyatta National Hospital,Nairobi,Pediatrics,15,5,1
2024-03-12,13,1,Tuesday,3,Moi Teaching & Referral Hospital,Eldoret,Pediatrics,70,2,0
2023-03-24,10,4,Friday,3,Pumwani Maternity Hospital,Nairobi,Outpatient,240,1,0
2023-10-09,13,0,Monday,10,Coast General Hospital,Mombasa,General Surgery,147,3,0
2023-11-29,10,2,Wednesday,11,Coast General Hospital,Mombasa,General Surgery,137,2,0
2024-04-09,11,1,Tuesday,4,Moi Teaching & Referral Hospital,Eldoret,Outpatient,141,3,0
2023-04-28,15,4,Friday,4,Coast General Hospital,Mombasa,Maternity,107,3,0
2024-04-07,16,6,Sunday,4,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,5,5,1
2024-02-13,10,1,Tuesday,2,Kenyatta National Hospital,Nairobi,Casualty/Emergency,87,3,0
2023-11-17,13,4,Friday,11,Mama Lucy Kibaki Hospital,Nairobi,Maternity,103,4,0
2024-04-30,8,1,Tuesday,4,Kenyatta National Hospital,Nairobi,Outpatient,106,3,0
2023-04-09,14,6,Sunday,4,Mama Lucy Kibaki Hospital,Nairobi,Maternity,19,4,1
